"Data","Od","Do","Przedmiot","Semestr","Grupa","Sala"
"2019.05.29","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_222 A","WI WI1- 316"
"2019.05.29","14:15","16:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31B","WI WI1- 316"
"2019.05.30","10:15","12:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 308"
"2019.05.30","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.06.01","08:00","09:35","Programowanie 2","semestr 2","N1_I_L_10 B","WI WI1- 303"
"2019.06.01","09:40","11:20","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_31 A","WI WI1- 309"
"2019.06.01","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_31 B","WI WI1- 309"
"2019.06.02","14:20","15:05","Historia informatyki","semestr 2","HSPO1_HI_W","WI WI1- 206"
"2019.06.02","15:10","16:45","Programowanie 2","semestr 2","N1_I_L_10 A","WI WI1- 303"
"2019.06.02","16:50","18:25","Programowanie 2","semestr 2","N1_I_L_10 B","WI WI1- 303"
"2019.06.04","10:15","12:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_L_14 A","WI WI1- 315"
"2019.06.04","14:15","16:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 302"
"2019.06.04","16:15","18:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 302"
"2019.06.05","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_222 A","WI WI1- 316"
"2019.06.05","14:15","16:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_W_14","WI WI2- 100"
"2019.06.06","10:15","12:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 308"
"2019.06.06","12:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31A","WI WI1- 308"
"2019.06.06","14:15","16:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.06.10","08:15","10:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_W_31","WI WI2- 126"
"2019.06.10","10:15","12:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_L_14 A","WI WI1- 315"
"2019.06.10","12:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31C","WI WI1- 315"
"2019.06.12","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_222 A","WI WI1- 316"
"2019.06.12","14:15","16:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31B","WI WI1- 316"
"2019.06.13","08:15","09:00","Historia informatyki","semestr 1","lato_HSPO1_Hi_W","WI WI2- 100"
"2019.06.13","10:15","12:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 308"
"2019.06.13","12:15","13:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.06.13","13:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31A","WI WI1- 308"
"2019.06.13","15:15","16:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.06.15","09:40","11:20","Programowanie 2","semestr 2","N1_I_L_10 A","WI WI1- 303"
"2019.06.15","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_30 A","WI WI1- 309"
"2019.06.15","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_30 B","WI WI1- 309"
"2019.06.16","09:40","11:20","Programowanie 2","semestr 2","N1_I_L_10 B","WI WI1- 303"
"2019.06.16","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_31 B","WI WI1- 309"
"2019.06.16","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_31 A","WI WI1- 309"
"2019.06.17","09:15","10:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_W_31","WI WI2- 126"
"2019.06.17","11:15","12:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_L_14 A","WI WI1- 315"
"2019.06.17","13:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31C","WI WI1- 315"
"2019.06.19","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_222 A","WI WI1- 316"
"2019.06.19","14:15","15:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_W_14","WI WI2- 100"
"2019.06.19","15:15","16:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31B","WI WI1- 316"
